__init__ Optimal Geometry
[(4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40)]
[16, 18, 40, 4, 8, 6, 29, 5, 5, 4, 19, 12, 13, 18, 7, 8, 25, 29, 26, 40] 2.4043085734485283e-05
[9, 30, 16, 17, 37, 21, 30, 9, 24, 31, 29, 8, 33, 33, 27, 36, 39, 28, 12, 22] 1.8052204067047548e-05
[14, 37, 29, 6, 15, 6, 20, 8, 22, 23, 11, 9, 20, 11, 18, 4, 31, 14, 32, 20] 4.3641414109842443e-05
[21, 9, 16, 31, 30, 29, 28, 22, 7, 27, 17, 9, 37, 38, 36, 17, 20, 19, 4, 21] 6.414532750940596e-05
[34, 25, 39, 20, 4, 24, 35, 40, 31, 32, 6, 24, 17, 14, 12, 7, 40, 8, 35, 7] 4.071908015700433e-05
[33, 24, 35, 37, 38, 37, 34, 14, 18, 10, 6, 26, 37, 21, 11, 17, 21, 38, 33, 14] 6.485378232694785e-05
[10, 21, 16, 19, 5, 11, 21, 39, 17, 40, 28, 26, 23, 19, 33, 36, 28, 28, 16, 20] 3.8072778819526886e-05
[35, 23, 16, 15, 29, 21, 33, 16, 25, 37, 37, 5, 23, 11, 39, 16, 13, 35, 16, 32] 4.167652576086016e-05
[39, 24, 25, 19, 37, 22, 16, 27, 39, 20, 28, 13, 14, 25, 14, 12, 10, 6, 16, 4] 6.0234949982082724e-05
[39, 17, 4, 18, 35, 13, 38, 33, 23, 32, 12, 38, 7, 32, 35, 36, 40, 37, 5, 10] 4.2686246937939854e-05
[29, 37, 38, 20, 19, 6, 4, 22, 28, 20, 17, 21, 26, 5, 37, 40, 27, 4, 12, 13] 2.9217049798543004e-05
[35, 12, 17, 5, 30, 36, 33, 29, 35, 10, 7, 12, 13, 18, 15, 9, 10, 21, 31, 39] 2.984537410916062e-05
[26, 25, 33, 22, 5, 14, 40, 21, 13, 4, 31, 27, 24, 29, 7, 30, 13, 20, 29, 23] 8.577707030239028e-05
[4, 5, 36, 34, 12, 31, 29, 7, 11, 20, 36, 18, 32, 28, 32, 7, 11, 33, 16, 4] 5.952158863384311e-05
[38, 15, 12, 26, 35, 21, 18, 27, 15, 30, 7, 18, 14, 13, 22, 12, 32, 38, 33, 37] 3.405898538337605e-05
[18, 33, 26, 26, 20, 26, 16, 37, 12, 9, 37, 34, 29, 38, 24, 29, 32, 37, 33, 31] 7.707750299134517e-05
[19, 13, 7, 11, 40, 4, 8, 8, 38, 35, 30, 22, 4, 31, 33, 27, 20, 27, 13, 32] 2.683738294267774e-05
[30, 20, 35, 31, 22, 5, 11, 34, 4, 11, 13, 40, 4, 16, 12, 38, 20, 22, 28, 32] 6.450825793853502e-05
[27, 33, 29, 40, 29, 36, 35, 15, 26, 27, 35, 29, 8, 16, 24, 16, 4, 29, 24, 36] 5.25737827042647e-05
[26, 29, 33, 18, 14, 20, 5, 10, 35, 35, 22, 24, 11, 37, 16, 39, 12, 38, 5, 29] 7.667000354997562e-05
[5, 13, 27, 29, 6, 36, 21, 35, 4, 26, 23, 18, 25, 8, 21, 38, 40, 16, 36, 28] 3.012905502590952e-05
